Size(Bytes),Stride(Bytes),Average_Latency(ns)
32768,128,36.790000
32768,1024,31.674000
32768,4096,31.670000
32768,16384,32.086000
32768,524288,31.839000
32768,1048576,32.004000
32768,4194304,31.875000
32768,33554432,31.908000
49152,128,38.870000
49152,1024,31.709000
49152,4096,31.337000
49152,16384,32.329000
49152,524288,31.960000
49152,1048576,31.913000
49152,4194304,31.499000
49152,33554432,31.953000
73728,128,43.410000
73728,1024,31.169000
73728,4096,31.579000
73728,16384,31.958000
73728,524288,31.667000
73728,1048576,32.121000
73728,4194304,32.546000
73728,33554432,30.456000
110592,128,39.668000
110592,1024,22.782000
110592,4096,22.962000
110592,16384,23.460000
110592,524288,23.588000
110592,1048576,23.709000
110592,4194304,23.792000
110592,33554432,23.627000
165888,128,39.205000
165888,1024,31.831000
165888,4096,23.166000
165888,16384,23.707000
165888,524288,28.206000
165888,1048576,23.499000
165888,4194304,23.751000
165888,33554432,23.666000
248832,128,26.876000
248832,1024,25.544000
248832,4096,23.580000
248832,16384,23.584000
248832,524288,23.665000
248832,1048576,23.877000
248832,4194304,23.707000
248832,33554432,23.704000
373248,128,39.335000
373248,1024,57.297000
373248,4096,23.451000
373248,16384,23.540000
373248,524288,23.665000
373248,1048576,23.455000
373248,4194304,23.542000
373248,33554432,23.835000
559872,128,38.583000
559872,1024,87.750000
559872,4096,23.345000
559872,16384,24.042000
559872,524288,39.717000
559872,1048576,27.498000
559872,4194304,23.871000
559872,33554432,25.626000
839808,128,23.126000
839808,1024,30.536000
839808,4096,36.061000
839808,16384,23.958000
839808,524288,31.036000
839808,1048576,33.039000
839808,4194304,30.623000
839808,33554432,36.586000
1259712,128,38.541000
1259712,1024,147.996000
1259712,4096,79.462000
1259712,16384,23.913000
1259712,524288,56.499000
1259712,1048576,40.294000
1259712,4194304,47.577000
1259712,33554432,55.556000
1889568,128,38.622000
1889568,1024,134.863000
1889568,4096,154.463000
1889568,16384,93.755000
1889568,524288,146.238000
1889568,1048576,117.698000
1889568,4194304,127.293000
1889568,33554432,139.414000
2834352,128,39.625000
2834352,1024,122.349000
2834352,4096,292.220000
2834352,16384,127.338000
2834352,524288,205.052000
2834352,1048576,165.540000
2834352,4194304,182.790000
2834352,33554432,180.004000
4251528,128,26.543000
4251528,1024,138.295000
4251528,4096,237.461000
4251528,16384,167.297000
4251528,524288,238.664000
4251528,1048576,191.676000
4251528,4194304,210.841000
4251528,33554432,226.257000
6377292,128,51.375000
6377292,1024,116.670000
6377292,4096,392.827000
6377292,16384,390.000000
6377292,524288,466.603000
6377292,1048576,990.412000
6377292,4194304,335.830000
6377292,33554432,285.664000
9565938,128,31.372000
9565938,1024,109.376000
9565938,4096,319.623000
9565938,16384,427.676000
9565938,524288,27.956000
9565938,1048576,22.158000
9565938,4194304,21.418000
9565938,33554432,17.119000
14348907,128,25.000000
14348907,1024,81.243000
14348907,4096,253.079000
14348907,16384,1000.480000
14348907,524288,553.332000
14348907,1048576,269.542000
14348907,4194304,110.240000
14348907,33554432,365.421000
21523360,128,38.960000
21523360,1024,121.971000
21523360,4096,327.959000
21523360,16384,1301.327000
21523360,524288,849.494000
21523360,1048576,349.079000
21523360,4194304,235.552000
21523360,33554432,743.841000
32285040,128,38.382000
32285040,1024,128.335000
32285040,4096,329.874000
32285040,16384,1132.468000
32285040,524288,1075.606000
32285040,1048576,464.537000
32285040,4194304,585.426000
32285040,33554432,734.870000
48427560,128,32.333000
48427560,1024,116.043000
48427560,4096,291.415000
48427560,16384,1103.161000
48427560,524288,1113.815000
48427560,1048576,863.337000
48427560,4194304,799.867000
48427560,33554432,834.971000
72641340,128,29.542000
72641340,1024,103.043000
72641340,4096,277.918000
72641340,16384,975.588000
72641340,524288,1036.667000
72641340,1048576,758.167000
72641340,4194304,854.707000
72641340,33554432,829.576000
108962010,128,27.380000
108962010,1024,99.423000
108962010,4096,229.822000
108962010,16384,924.996000
108962010,524288,1045.125000
108962010,1048576,717.343000
108962010,4194304,831.298000
108962010,33554432,839.282000
163443015,128,24.295000
163443015,1024,77.547000
163443015,4096,263.783000
163443015,16384,6348.229000
163443015,524288,1321.290000
163443015,1048576,1253.328000
163443015,4194304,1089.544000
163443015,33554432,1012.459000
245164522,128,21.248000
245164522,1024,72.464000
245164522,4096,229.577000
245164522,16384,902.760000
245164522,524288,915.866000
245164522,1048576,866.578000
245164522,4194304,857.671000
245164522,33554432,873.716000
367746783,128,19.832000
367746783,1024,63.577000
367746783,4096,194.664000
367746783,16384,760.093000
367746783,524288,882.849000
367746783,1048576,854.758000
367746783,4194304,788.888000
367746783,33554432,806.840000
551620174,128,18.244000
551620174,1024,55.462000
551620174,4096,179.752000
551620174,16384,711.808000
551620174,524288,810.037000
551620174,1048576,799.249000
551620174,4194304,827.087000
551620174,33554432,782.118000
827430261,128,17.674000
827430261,1024,59.867000
827430261,4096,185.457000
827430261,16384,727.499000
827430261,524288,799.800000
827430261,1048576,841.794000
827430261,4194304,831.081000
827430261,33554432,788.789000
