Size(Bytes),Stride(Bytes),Average_Latency(ns)
32768,128,36.751000
32768,1024,31.543000
32768,4096,31.582000
32768,16384,32.037000
32768,524288,31.917000
32768,1048576,31.915000
32768,4194304,32.005000
32768,33554432,31.995000
163840,128,51.162000
163840,1024,30.632000
163840,4096,23.296000
163840,16384,23.668000
163840,524288,23.626000
163840,1048576,23.751000
163840,4194304,23.624000
163840,33554432,23.455000
294912,128,50.752000
294912,1024,43.040000
294912,4096,23.168000
294912,16384,23.791000
294912,524288,23.368000
294912,1048576,23.544000
294912,4194304,23.544000
294912,33554432,23.793000
425984,128,45.998000
425984,1024,62.005000
425984,4096,22.918000
425984,16384,23.375000
425984,524288,23.416000
425984,1048576,23.666000
425984,4194304,23.874000
425984,33554432,23.461000
557056,128,38.710000
557056,1024,77.244000
557056,4096,22.997000
557056,16384,23.545000
557056,524288,23.542000
557056,1048576,23.415000
557056,4194304,23.627000
557056,33554432,23.537000
688128,128,23.418000
688128,1024,23.003000
688128,4096,22.917000
688128,16384,23.544000
688128,524288,23.749000
688128,1048576,23.831000
688128,4194304,23.661000
688128,33554432,23.750000
819200,128,40.919000
819200,1024,146.212000
819200,4096,23.039000
819200,16384,23.546000
819200,524288,23.586000
819200,1048576,23.544000
819200,4194304,23.666000
819200,33554432,23.797000
950272,128,23.002000
950272,1024,34.707000
950272,4096,22.959000
950272,16384,23.416000
950272,524288,23.628000
950272,1048576,23.664000
950272,4194304,23.831000
950272,33554432,24.291000
1048576,128,23.959000
1048576,1024,23.001000
1048576,4096,22.827000
1048576,16384,23.414000
1048576,524288,23.621000
1048576,1048576,23.624000
1048576,4194304,23.582000
1048576,33554432,23.417000
2097152,128,38.250000
2097152,1024,129.827000
2097152,4096,231.499000
2097152,16384,122.829000
2097152,524288,26.122000
2097152,1048576,25.126000
2097152,4194304,24.125000
2097152,33554432,24.208000
3145728,128,43.126000
3145728,1024,138.163000
3145728,4096,347.379000
3145728,16384,172.998000
3145728,524288,27.374000
3145728,1048576,25.459000
3145728,4194304,25.458000
3145728,33554432,25.501000
4194304,128,31.708000
4194304,1024,152.584000
4194304,4096,262.834000
4194304,16384,172.677000
4194304,524288,25.752000
4194304,1048576,22.375000
4194304,4194304,23.125000
4194304,33554432,21.417000
5242880,128,48.085000
5242880,1024,117.003000
5242880,4096,394.747000
5242880,16384,312.081000
5242880,524288,27.334000
5242880,1048576,23.378000
5242880,4194304,23.043000
5242880,33554432,23.873000
6291456,128,17.794000
6291456,1024,66.208000
6291456,4096,204.385000
6291456,16384,269.743000
6291456,524288,27.583000
6291456,1048576,25.085000
6291456,4194304,22.124000
6291456,33554432,22.205000
7340032,128,48.790000
7340032,1024,113.331000
7340032,4096,414.697000
7340032,16384,521.144000
7340032,524288,39.055000
7340032,1048576,22.121000
7340032,4194304,22.001000
7340032,33554432,22.082000
8388608,128,25.247000
8388608,1024,58.710000
8388608,4096,164.459000
8388608,16384,292.744000
8388608,524288,45.207000
8388608,1048576,22.415000
8388608,4194304,42.998000
8388608,33554432,31.041000
9437184,128,48.793000
9437184,1024,141.118000
